CONAME,STREET,CITY,STATE_NAME,ZIP,NAICS,SIC,EMPNUM,SALESVOL,DESC_,LATITUDE,LONGITUDE
Sangamore Hill Elementary Schl,S Hughes Ave,Fort Worth,Texas,76103,61111007,821103,75,0.00000000000,"Sangamore Hill Elementary Schl, S Hughes Ave, Fort Worth, Texas, 76103",32.73660000000,-97.25590000000
All Saints Catholic School,N Houston St,Fort Worth,Texas,76164,61111004,821101,20,0.00000000000,"All Saints Catholic School, N Houston St, Fort Worth, Texas, 76164",32.78130000000,-97.35170000000
Riverside Middle School,Bolton St,Fort Worth,Texas,76111,61111007,821103,75,0.00000000000,"Riverside Middle School, Bolton St, Fort Worth, Texas, 76111",32.78370000000,-97.30010000000
Bonnie Bray Elementary,Kimbo Rd,Fort Worth,Texas,76111,61111007,821103,60,0.00000000000,"Bonnie Bray Elementary, Kimbo Rd, Fort Worth, Texas, 76111",32.79770000000,-97.29680000000
Springdale Elementary School,Hollis St,Fort Worth,Texas,76111,61111007,821103,60,0.00000000000,"Springdale Elementary School, Hollis St, Fort Worth, Texas, 76111",32.79250000000,-97.30020000000
Riverside Applied Learning Ctr,Fossil Dr,Fort Worth,Texas,76111,61111007,821103,35,0.00000000000,"Riverside Applied Learning Ctr, Fossil Dr, Fort Worth, Texas, 76111",32.80330000000,-97.29570000000
Fort Worth Isd,Ramey Ave,Fort Worth,Texas,76112,61111007,821103,22,0.00000000000,"Fort Worth Isd, Ramey Ave, Fort Worth, Texas, 76112",32.71920000000,-97.23110000000
Maudrie M Walton Elementary,Rickenbacker Pl,Fort Worth,Texas,76112,61111007,821103,65,0.00000000000,"Maudrie M Walton Elementary, Rickenbacker Pl, Fort Worth, Texas, 76112",32.72130000000,-97.22990000000
Maude I Logan Elementary Schl,Dillard St,Fort Worth,Texas,76105,61111007,821103,75,0.00000000000,"Maude I Logan Elementary Schl, Dillard St, Fort Worth, Texas, 76105",32.72270000000,-97.24390000000
Dunbar High School,Ramey Ave,Fort Worth,Texas,76112,61111007,821103,150,0.00000000000,"Dunbar High School, Ramey Ave, Fort Worth, Texas, 76112",32.71920000000,-97.23110000000
Sunrise-mc Millian Elementary,Stalcup Rd,Fort Worth,Texas,76119,61111007,821103,60,0.00000000000,"Sunrise-mc Millian Elementary, Stalcup Rd, Fort Worth, Texas, 76119",32.71310000000,-97.23790000000
Dunbar Middle School,Stalcup Rd,Fort Worth,Texas,76119,61111007,821103,100,0.00000000000,"Dunbar Middle School, Stalcup Rd, Fort Worth, Texas, 76119",32.72060000000,-97.23760000000
Key School Inc,E Loop 820 S,Fort Worth,Texas,76119,61111007,821103,45,0.00000000000,"Key School Inc, E Loop 820 S, Fort Worth, Texas, 76119",32.70450000000,-97.23290000000
Eastern Hills Elementary Schl,Shelton St,Fort Worth,Texas,76112,61111007,821103,80,0.00000000000,"Eastern Hills Elementary Schl, Shelton St, Fort Worth, Texas, 76112",32.74820000000,-97.23100000000
St Rita's School,Weiler Blvd,Fort Worth,Texas,76112,61111004,821101,26,0.00000000000,"St Rita's School, Weiler Blvd, Fort Worth, Texas, 76112",32.73690000000,-97.23470000000
Fort Worth Isd,Barron Ln,Fort Worth,Texas,76112,61111007,821103,22,0.00000000000,"Fort Worth Isd, Barron Ln, Fort Worth, Texas, 76112",32.75200000000,-97.20870000000
Dunbar-6th Grade Middle School,Willie St,Fort Worth,Texas,76105,61111007,821103,13,0.00000000000,"Dunbar-6th Grade Middle School, Willie St, Fort Worth, Texas, 76105",32.72560000000,-97.24430000000
Professional Academy Christian,Canton Dr,Fort Worth,Texas,76112,61111007,821103,14,0.00000000000,"Professional Academy Christian, Canton Dr, Fort Worth, Texas, 76112",32.73760000000,-97.22960000000
Zion Prep Academy,Po Box 8744,Fort Worth,Texas,76124,61111004,821101,15,0.00000000000,"Zion Prep Academy, Po Box 8744, Fort Worth, Texas, 76124",32.75720000000,-97.21350000000
Jean Mc Clung Middle School,Forest Ave,Fort Worth,Texas,76112,61111007,821103,72,0.00000000000,"Jean Mc Clung Middle School, Forest Ave, Fort Worth, Texas, 76112",32.73610000000,-97.21990000000
Mc Donald Atwood Elementary,Barron Ln,Fort Worth,Texas,76112,61111007,821103,60,0.00000000000,"Mc Donald Atwood Elementary, Barron Ln, Fort Worth, Texas, 76112",32.75200000000,-97.20870000000
Ft Worth Adult Education Ctr,Meadowbrook Dr,Fort Worth,Texas,76112,61111007,821103,22,0.00000000000,"Ft Worth Adult Education Ctr, Meadowbrook Dr, Fort Worth, Texas, 76112",32.74610000000,-97.23240000000
Eastern Hills High School,Shelton St,Fort Worth,Texas,76112,61111007,821103,165,0.00000000000,"Eastern Hills High School, Shelton St, Fort Worth, Texas, 76112",32.74750000000,-97.23350000000
East Handley Elementary School,Mims St,Fort Worth,Texas,76112,61111007,821103,50,0.00000000000,"East Handley Elementary School, Mims St, Fort Worth, Texas, 76112",32.74120000000,-97.20680000000
Young Mens Ledership Academy,Willie St,Fort Worth,Texas,76105,61111007,821103,30,0.00000000000,"Young Mens Ledership Academy, Willie St, Fort Worth, Texas, 76105",32.72560000000,-97.24430000000
West Handley Elementary School,Putnam St,Fort Worth,Texas,76112,61111007,821103,70,0.00000000000,"West Handley Elementary School, Putnam St, Fort Worth, Texas, 76112",32.74010000000,-97.22700000000
St Ignatius College Prep,Shelton Dr,Fort Worth,Texas,76120,61111007,821103,19,0.00000000000,"St Ignatius College Prep, Shelton Dr, Fort Worth, Texas, 76120",32.74740000000,-97.17630000000
Bill J Elliott Elementary,Cooks Ln,Fort Worth,Texas,76120,61111007,821103,60,0.00000000000,"Bill J Elliott Elementary, Cooks Ln, Fort Worth, Texas, 76120",32.74220000000,-97.18110000000
Handley Middle School,Patino Rd,Fort Worth,Texas,76112,61111007,821103,89,0.00000000000,"Handley Middle School, Patino Rd, Fort Worth, Texas, 76112",32.73910000000,-97.18800000000
Temple Christian School,Randol Mill Rd,Fort Worth,Texas,76120,61111007,821103,50,0.00000000000,"Temple Christian School, Randol Mill Rd, Fort Worth, Texas, 76120",32.77870000000,-97.20780000000
John T White Elementary School,John T White Rd,Fort Worth,Texas,76120,61111007,821103,59,0.00000000000,"John T White Elementary School, John T White Rd, Fort Worth, Texas, 76120",32.76490000000,-97.19800000000
Richard J Wilson Elementary,W Fogg St,Fort Worth,Texas,76110,61111007,821103,65,0.00000000000,"Richard J Wilson Elementary, W Fogg St, Fort Worth, Texas, 76110",32.69180000000,-97.33490000000
West Academy,Mccart Ave,Fort Worth,Texas,76110,61111007,821103,7,0.00000000000,"West Academy, Mccart Ave, Fort Worth, Texas, 76110",32.69180000000,-97.35270000000
Fort Worth Independent Sch Dst,Mccart Ave,Fort Worth,Texas,76110,61111018,821120,50,0.00000000000,"Fort Worth Independent Sch Dst, Mccart Ave, Fort Worth, Texas, 76110",32.70500000000,-97.35340000000
Fort Worth Isd,Lipscomb St,Fort Worth,Texas,76110,61111007,821103,22,0.00000000000,"Fort Worth Isd, Lipscomb St, Fort Worth, Texas, 76110",32.71800000000,-97.33330000000
Fort Worth Isd,Forest Park Blvd,Fort Worth,Texas,76110,61111007,821103,22,0.00000000000,"Fort Worth Isd, Forest Park Blvd, Fort Worth, Texas, 76110",32.70790000000,-97.35080000000
Daggett Montessori School,W Jessamine St,Fort Worth,Texas,76110,61111003,821105,68,0.00000000000,"Daggett Montessori School, W Jessamine St, Fort Worth, Texas, 76110",32.71810000000,-97.33250000000
Travis Avenue Baptist School,W Berry St,Fort Worth,Texas,76110,61111004,821101,15,0.00000000000,"Travis Avenue Baptist School, W Berry St, Fort Worth, Texas, 76110",32.70680000000,-97.33330000000
R L Paschal High School,Forest Park Blvd,Fort Worth,Texas,76110,61111007,821103,90,0.00000000000,"R L Paschal High School, Forest Park Blvd, Fort Worth, Texas, 76110",32.70790000000,-97.35080000000
Rosemont Sixth Grade School,Mccart Ave,Fort Worth,Texas,76110,61111007,821103,54,0.00000000000,"Rosemont Sixth Grade School, Mccart Ave, Fort Worth, Texas, 76110",32.69130000000,-97.35390000000
E M Daggett Elementary School,Page Ave,Fort Worth,Texas,76110,61111007,821103,85,0.00000000000,"E M Daggett Elementary School, Page Ave, Fort Worth, Texas, 76110",32.71660000000,-97.33450000000
Our Lady-victory Catholic Schl,Hemphill St,Fort Worth,Texas,76110,61111004,821101,20,0.00000000000,"Our Lady-victory Catholic Schl, Hemphill St, Fort Worth, Texas, 76110",32.70050000000,-97.33320000000
George C Clarke Elementary,S Henderson St,Fort Worth,Texas,76110,61111007,821103,100,0.00000000000,"George C Clarke Elementary, S Henderson St, Fort Worth, Texas, 76110",32.70210000000,-97.33850000000
Morningside Middle School,Mississippi Ave,Fort Worth,Texas,76104,61111007,821103,84,0.00000000000,"Morningside Middle School, Mississippi Ave, Fort Worth, Texas, 76104",32.71180000000,-97.31120000000
Worth Heights Elementary Schl,E Butler St,Fort Worth,Texas,76110,61111007,821103,95,0.00000000000,"Worth Heights Elementary Schl, E Butler St, Fort Worth, Texas, 76110",32.69610000000,-97.32200000000
Trinity Basin Preparatory,E Pafford St,Fort Worth,Texas,76110,61111007,821103,15,0.00000000000,"Trinity Basin Preparatory, E Pafford St, Fort Worth, Texas, 76110",32.69190000000,-97.32590000000
Trinity Basin Preparatory Inc,W Fogg St,Fort Worth,Texas,76110,61111007,821103,15,0.00000000000,"Trinity Basin Preparatory Inc, W Fogg St, Fort Worth, Texas, 76110",32.69110000000,-97.32670000000
Edward J Briscoe Elementary,Yuma Ave,Fort Worth,Texas,76104,61111007,821103,63,0.00000000000,"Edward J Briscoe Elementary, Yuma Ave, Fort Worth, Texas, 76104",32.71160000000,-97.30720000000
Morningside Elementary School,Evans Ave,Fort Worth,Texas,76104,61111007,821103,55,0.00000000000,"Morningside Elementary School, Evans Ave, Fort Worth, Texas, 76104",32.71430000000,-97.31710000000
Cassata High School,Hemphill St,Fort Worth,Texas,76104,61111007,821103,16,0.00000000000,"Cassata High School, Hemphill St, Fort Worth, Texas, 76104",32.72900000000,-97.33200000000
Lily B Clayton Elementary Sch,Park Place Ave,Fort Worth,Texas,76110,61111007,821103,55,0.00000000000,"Lily B Clayton Elementary Sch, Park Place Ave, Fort Worth, Texas, 76110",32.72720000000,-97.34820000000
Success High School,W Cannon St,Fort Worth,Texas,76104,61111007,821103,40,0.00000000000,"Success High School, W Cannon St, Fort Worth, Texas, 76104",32.73570000000,-97.33640000000
Fort Worth Isd,W Cannon St,Fort Worth,Texas,76104,61111007,821103,175,0.00000000000,"Fort Worth Isd, W Cannon St, Fort Worth, Texas, 76104",32.73570000000,-97.33640000000
Young Women's Leadership Acad,W Magnolia Ave,Fort Worth,Texas,76104,61111007,821103,72,0.00000000000,"Young Women's Leadership Acad, W Magnolia Ave, Fort Worth, Texas, 76104",32.73110000000,-97.33640000000
De Zavala Elementary School,College Ave,Fort Worth,Texas,76104,61111007,821103,60,0.00000000000,"De Zavala Elementary School, College Ave, Fort Worth, Texas, 76104",32.72840000000,-97.33460000000
Trimble Technical High School,W Cannon St,Fort Worth,Texas,76104,61111007,821103,176,0.00000000000,"Trimble Technical High School, W Cannon St, Fort Worth, Texas, 76104",32.73570000000,-97.33640000000
St Paul Lutheran School,West Fwy,Fort Worth,Texas,76102,61111004,821101,50,0.00000000000,"St Paul Lutheran School, West Fwy, Fort Worth, Texas, 76102",32.74170000000,-97.34550000000
Child Study Ctr,W Lancaster Ave,Fort Worth,Texas,76102,61111010,821107,75,0.00000000000,"Child Study Ctr, W Lancaster Ave, Fort Worth, Texas, 76102",32.74780000000,-97.34040000000
Memorable Moments,,Fort Worth,Texas,76102,61111007,821103,13,0.00000000000,"Memorable Moments,  , Fort Worth, Texas, 76102",32.75770000000,-97.33330000000
Boswell Agricultural Farm,Jim Wright Fwy Nw,Saginaw,Texas,76179,61111007,821103,90,0.00000000000,"Boswell Agricultural Farm, Jim Wright Fwy Nw, Saginaw, Texas, 76179",32.83920000000,-97.35480000000
Bethesda Christian School,N Beach St,Haltom City,Texas,76137,61111007,821103,60,0.00000000000,"Bethesda Christian School, N Beach St, Haltom City, Texas, 76137",32.82740000000,-97.29040000000
Parkview Elementary School,Bayberry Dr,Fort Worth,Texas,76137,61111007,821103,80,0.00000000000,"Parkview Elementary School, Bayberry Dr, Fort Worth, Texas, 76137",32.86610000000,-97.29460000000
Fossil Ridge High School,Thompson Rd,Fort Worth,Texas,76244,61111007,821103,200,0.00000000000,"Fossil Ridge High School, Thompson Rd, Fort Worth, Texas, 76244",32.89080000000,-97.29420000000
Keller Isd,Staghorn Cir S,Fort Worth,Texas,76137,61111007,821103,13,0.00000000000,"Keller Isd, Staghorn Cir S, Fort Worth, Texas, 76137",32.87770000000,-97.30120000000
Park Glen Elementary School,Glen Canyon Rd,Fort Worth,Texas,76137,61111007,821103,67,0.00000000000,"Park Glen Elementary School, Glen Canyon Rd, Fort Worth, Texas, 76137",32.88060000000,-97.27490000000
Hillwood Middle School,Parkwood Hill Blvd,Fort Worth,Texas,76137,61111007,821103,100,0.00000000000,"Hillwood Middle School, Parkwood Hill Blvd, Fort Worth, Texas, 76137",32.88920000000,-97.26190000000
Cambridge Christian Academy,Caribou Ct,Fort Worth,Texas,76137,61111007,821103,7,0.00000000000,"Cambridge Christian Academy, Caribou Ct, Fort Worth, Texas, 76137",32.87710000000,-97.27820000000
Bluebonnet Elementary School,Teal Dr,Fort Worth,Texas,76137,61111007,821103,80,0.00000000000,"Bluebonnet Elementary School, Teal Dr, Fort Worth, Texas, 76137",32.86670000000,-97.27700000000
Fossil Hill Middle School,Staghorn Cir S,Fort Worth,Texas,76137,61111007,821103,72,0.00000000000,"Fossil Hill Middle School, Staghorn Cir S, Fort Worth, Texas, 76137",32.87770000000,-97.30120000000
Parkwood Hill Intermediate,Parkwood Hill Blvd,Fort Worth,Texas,76137,61111007,821103,101,0.00000000000,"Parkwood Hill Intermediate, Parkwood Hill Blvd, Fort Worth, Texas, 76137",32.88860000000,-97.26540000000
Cambridge Chrisitan Academy,Caribou Ct,Fort Worth,Texas,76137,61111004,821101,15,0.00000000000,"Cambridge Chrisitan Academy, Caribou Ct, Fort Worth, Texas, 76137",32.87710000000,-97.27820000000
Chisholm Trail Intermediate,Summerfields Blvd,Fort Worth,Texas,76137,61111007,821103,10,0.00000000000,"Chisholm Trail Intermediate, Summerfields Blvd, Fort Worth, Texas, 76137",32.88720000000,-97.30110000000
Heritage Elementary School,Thompson Rd,Fort Worth,Texas,76244,61111007,821103,115,0.00000000000,"Heritage Elementary School, Thompson Rd, Fort Worth, Texas, 76244",32.89320000000,-97.29600000000
Bette Perot Elementary School,General Worth Dr,Fort Worth,Texas,76244,61111007,821103,70,0.00000000000,"Bette Perot Elementary School, General Worth Dr, Fort Worth, Texas, 76244",32.90940000000,-97.30440000000
Northwest High School,,Fort Worth,Texas,76177,61111007,821103,22,0.00000000000,"Northwest High School,  , Fort Worth, Texas, 76177",32.94210000000,-97.31500000000
O a Peterson Elementary,Winter Hawk Dr,Fort Worth,Texas,76177,61111007,821103,60,0.00000000000,"O a Peterson Elementary, Winter Hawk Dr, Fort Worth, Texas, 76177",32.92670000000,-97.33010000000
Keller Independent School Dist,General Worth Dr,Fort Worth,Texas,76244,61111007,821103,13,0.00000000000,"Keller Independent School Dist, General Worth Dr, Fort Worth, Texas, 76244",32.90940000000,-97.30440000000
Children's Lighthouse-heritage,Shiver Rd,Fort Worth,Texas,76244,61111007,821103,29,0.00000000000,"Children's Lighthouse-heritage, Shiver Rd, Fort Worth, Texas, 76244",32.90200000000,-97.28160000000
Freedom Elementary School,Wall Price Keller Rd,Fort Worth,Texas,76244,61111007,821103,75,0.00000000000,"Freedom Elementary School, Wall Price Keller Rd, Fort Worth, Texas, 76244",32.91810000000,-97.26850000000
Central High School,Ray White Rd,Fort Worth,Texas,76244,61111007,821103,90,0.00000000000,"Central High School, Ray White Rd, Fort Worth, Texas, 76244",32.90920000000,-97.26860000000
North Texas Leadership Academy,Alta Vista Rd,Fort Worth,Texas,76244,61111007,821103,13,0.00000000000,"North Texas Leadership Academy, Alta Vista Rd, Fort Worth, Texas, 76244",32.92250000000,-97.28420000000
Lone Star Elementary School,Shiver Rd,Fort Worth,Texas,76244,61111007,821103,80,0.00000000000,"Lone Star Elementary School, Shiver Rd, Fort Worth, Texas, 76244",32.90330000000,-97.28550000000
Eagle Ridge Elementary School,Alta Vista Rd,Fort Worth,Texas,76244,61111007,821103,43,0.00000000000,"Eagle Ridge Elementary School, Alta Vista Rd, Fort Worth, Texas, 76244",32.91700000000,-97.28680000000
Friendship Elementary School,Shiver Rd,Fort Worth,Texas,76244,61111007,821103,60,0.00000000000,"Friendship Elementary School, Shiver Rd, Fort Worth, Texas, 76244",32.90080000000,-97.26820000000
Keller Isd,Van Zandt Dr,Fort Worth,Texas,76244,61111007,821103,13,0.00000000000,"Keller Isd, Van Zandt Dr, Fort Worth, Texas, 76244",32.90960000000,-97.28070000000
International Leadership of Tx,Heritage Trace Pkwy,Fort Worth,Texas,76244,61111007,821103,13,0.00000000000,"International Leadership of Tx, Heritage Trace Pkwy, Fort Worth, Texas, 76244",32.91690000000,-97.29590000000
Woodland Springs Elementary,Woodland Springs Dr,Fort Worth,Texas,76244,61111007,821103,60,0.00000000000,"Woodland Springs Elementary, Woodland Springs Dr, Fort Worth, Texas, 76244",32.94650000000,-97.26230000000
Timbercreek High School,Timberland Blvd,Fort Worth,Texas,76244,61111007,821103,90,0.00000000000,"Timbercreek High School, Timberland Blvd, Fort Worth, Texas, 76244",32.94950000000,-97.28820000000
Trinity Springs Middle School,Keller Hicks Rd,Fort Worth,Texas,76244,61111007,821103,90,0.00000000000,"Trinity Springs Middle School, Keller Hicks Rd, Fort Worth, Texas, 76244",32.93890000000,-97.28360000000
Trinity Meadows Intermediate,Keller Hicks Rd,Fort Worth,Texas,76244,61111007,821103,100,0.00000000000,"Trinity Meadows Intermediate, Keller Hicks Rd, Fort Worth, Texas, 76244",32.93740000000,-97.28580000000
Independence Elementary School,Bray Birch Ln,Fort Worth,Texas,76244,61111007,821103,40,0.00000000000,"Independence Elementary School, Bray Birch Ln, Fort Worth, Texas, 76244",32.94410000000,-97.27460000000
Kay Granger Elementary School,Saratoga Springs Cir,Fort Worth,Texas,76244,61111007,821103,70,0.00000000000,"Kay Granger Elementary School, Saratoga Springs Cir, Fort Worth, Texas, 76244",32.95790000000,-97.28970000000
Watkins Driver Education Schl,Po Box 866,Keller,Texas,76244,61111007,821103,13,0.00000000000,"Watkins Driver Education Schl, Po Box 866, Keller, Texas, 76244",32.93140000000,-97.28000000000
Mid-cities Learning Ctr Inc,S Pipeline Rd,Euless,Texas,76040,61111007,821103,13,0.00000000000,"Mid-cities Learning Ctr Inc, S Pipeline Rd, Euless, Texas, 76040",32.82240000000,-97.09460000000
Trinity Valley School,Dutch Branch Rd,Fort Worth,Texas,76132,61111007,821103,135,0.00000000000,"Trinity Valley School, Dutch Branch Rd, Fort Worth, Texas, 76132",32.65450000000,-97.42710000000
Fort Worth Academy,Dutch Branch Rd,Fort Worth,Texas,76132,61111007,821103,45,0.00000000000,"Fort Worth Academy, Dutch Branch Rd, Fort Worth, Texas, 76132",32.65150000000,-97.42160000000
St Peters Classical School,Bellaire Dr S,Fort Worth,Texas,76132,61111004,821101,17,0.00000000000,"St Peters Classical School, Bellaire Dr S, Fort Worth, Texas, 76132",32.66370000000,-97.42820000000
Oakmont Elementary School,Oakmont Trl,Fort Worth,Texas,76132,61111007,821103,80,0.00000000000,"Oakmont Elementary School, Oakmont Trl, Fort Worth, Texas, 76132",32.65440000000,-97.41160000000
Southwest Christian School Inc,Dan Danciger Rd,Fort Worth,Texas,76133,61111004,821101,65,0.00000000000,"Southwest Christian School Inc, Dan Danciger Rd, Fort Worth, Texas, 76133",32.64940000000,-97.40600000000
Southwest High School,Altamesa Blvd,Fort Worth,Texas,76133,61111007,821103,174,0.00000000000,"Southwest High School, Altamesa Blvd, Fort Worth, Texas, 76133",32.65290000000,-97.38060000000
Bruce Shulkey Elementary Schl,Whitman Ave,Fort Worth,Texas,76133,61111007,821103,70,0.00000000000,"Bruce Shulkey Elementary Schl, Whitman Ave, Fort Worth, Texas, 76133",32.66480000000,-97.38320000000
Wedgwood Sixth Grade,Belden Ave,Fort Worth,Texas,76132,61111007,821103,60,0.00000000000,"Wedgwood Sixth Grade, Belden Ave, Fort Worth, Texas, 76132",32.67680000000,-97.38660000000
J T Stevens Elementary School,Wrigley Way,Fort Worth,Texas,76133,61111007,821103,75,0.00000000000,"J T Stevens Elementary School, Wrigley Way, Fort Worth, Texas, 76133",32.65430000000,-97.39370000000
All Saints Episcopal School,International Plz,Fort Worth,Texas,76109,61111004,821101,15,0.00000000000,"All Saints Episcopal School, International Plz, Fort Worth, Texas, 76109",32.68800000000,-97.40130000000
Jewish Education Agency,S Hulen St,Fort Worth,Texas,76109,61111007,821103,25,0.00000000000,"Jewish Education Agency, S Hulen St, Fort Worth, Texas, 76109",32.68740000000,-97.39420000000
Hill School,Odessa Ave,Fort Worth,Texas,76133,61111010,821107,55,0.00000000000,"Hill School, Odessa Ave, Fort Worth, Texas, 76133",32.67690000000,-97.36270000000
Ft Worth Independent School,Wilkie Way,Fort Worth,Texas,76133,61111007,821103,13,0.00000000000,"Ft Worth Independent School, Wilkie Way, Fort Worth, Texas, 76133",32.65910000000,-97.37870000000
Hillel Academy-tarrant County,Woodway Dr,Fort Worth,Texas,76133,61111007,821103,13,0.00000000000,"Hillel Academy-tarrant County, Woodway Dr, Fort Worth, Texas, 76133",32.66050000000,-97.37660000000
Westcreek Elementary School,Walton Ave,Fort Worth,Texas,76133,61111007,821103,75,0.00000000000,"Westcreek Elementary School, Walton Ave, Fort Worth, Texas, 76133",32.66220000000,-97.36450000000
Wedgwood Middle School,Wilkie Way,Fort Worth,Texas,76133,61111007,821103,104,0.00000000000,"Wedgwood Middle School, Wilkie Way, Fort Worth, Texas, 76133",32.65910000000,-97.37870000000
St Christopher's Epscpl School,Sw Loop 820,Fort Worth,Texas,76133,61111004,821101,6,0.00000000000,"St Christopher's Epscpl School, Sw Loop 820, Fort Worth, Texas, 76133",32.67170000000,-97.36860000000
South Hills High School,Mccart Ave,Fort Worth,Texas,76133,61111007,821103,110,0.00000000000,"South Hills High School, Mccart Ave, Fort Worth, Texas, 76133",32.65740000000,-97.35950000000
Alice Contereras Elementary,Lubbock Ave,Fort Worth,Texas,76115,61111007,821103,80,0.00000000000,"Alice Contereras Elementary, Lubbock Ave, Fort Worth, Texas, 76115",32.68630000000,-97.35710000000
Harmony Science Academy,Westcreek Dr,Fort Worth,Texas,76133,61111007,821103,50,0.00000000000,"Harmony Science Academy, Westcreek Dr, Fort Worth, Texas, 76133",32.66310000000,-97.36190000000
South Hills Elementary School,Bilglade Rd,Fort Worth,Texas,76133,61111007,821103,82,0.00000000000,"South Hills Elementary School, Bilglade Rd, Fort Worth, Texas, 76133",32.67710000000,-97.36000000000
Trinity Valley School,Mccart Ave,Fort Worth,Texas,76133,61111007,821103,13,0.00000000000,"Trinity Valley School, Mccart Ave, Fort Worth, Texas, 76133",32.65740000000,-97.35950000000
Wedgwood Academy,Selkirk Dr,Fort Worth,Texas,76109,61111010,821107,8,0.00000000000,"Wedgwood Academy, Selkirk Dr, Fort Worth, Texas, 76109",32.67700000000,-97.37960000000
Primary Academy,W Loop 820 S,Fort Worth,Texas,76126,61111007,821103,12,0.00000000000,"Primary Academy, W Loop 820 S, Fort Worth, Texas, 76126",32.70510000000,-97.47310000000
Fort Worth Isd,Chapin Rd,Fort Worth,Texas,76116,61111007,821103,22,0.00000000000,"Fort Worth Isd, Chapin Rd, Fort Worth, Texas, 76116",32.71980000000,-97.47250000000
Waverly Park Elementary School,Cimmaron Trl,Fort Worth,Texas,76116,61111007,821103,80,0.00000000000,"Waverly Park Elementary School, Cimmaron Trl, Fort Worth, Texas, 76116",32.71740000000,-97.46550000000
Leonard Middle School,Chapin Rd,Fort Worth,Texas,76116,61111007,821103,100,0.00000000000,"Leonard Middle School, Chapin Rd, Fort Worth, Texas, 76116",32.71980000000,-97.47250000000
All Saints Episcopal School,Saints Cir,Fort Worth,Texas,76108,61111007,821103,125,0.00000000000,"All Saints Episcopal School, Saints Cir, Fort Worth, Texas, 76108",32.73180000000,-97.49150000000
Tannahill Intermediate School,American Flyer Blvd,Fort Worth,Texas,76108,61111007,821103,98,0.00000000000,"Tannahill Intermediate School, American Flyer Blvd, Fort Worth, Texas, 76108",32.75400000000,-97.51220000000
Covenant Classical School,Wind Star Way,Fort Worth,Texas,76108,61111007,821103,30,0.00000000000,"Covenant Classical School, Wind Star Way, Fort Worth, Texas, 76108",32.74380000000,-97.49780000000
Lower School,Saints Cir,Fort Worth,Texas,76108,61111007,821103,13,0.00000000000,"Lower School, Saints Cir, Fort Worth, Texas, 76108",32.73180000000,-97.49150000000
Blue Haze Elementary School,Blue Haze Dr,Fort Worth,Texas,76108,61111007,821103,60,0.00000000000,"Blue Haze Elementary School, Blue Haze Dr, Fort Worth, Texas, 76108",32.75060000000,-97.50150000000
Brewer High School,W Loop 820 N,Fort Worth,Texas,76108,61111007,821103,130,0.00000000000,"Brewer High School, W Loop 820 N, Fort Worth, Texas, 76108",32.78050000000,-97.48000000000
North Elementary School,Legacy Dr,Fort Worth,Texas,76108,61111007,821103,90,0.00000000000,"North Elementary School, Legacy Dr, Fort Worth, Texas, 76108",32.76570000000,-97.48900000000
White Settlement Senior High,W Loop 820 N,Fort Worth,Texas,76108,61111007,821103,200,0.00000000000,"White Settlement Senior High, W Loop 820 N, Fort Worth, Texas, 76108",32.78050000000,-97.48000000000
Safe Harbor Christian Learning,Jacksboro Hwy,Fort Worth,Texas,76135,61111004,821101,15,0.00000000000,"Safe Harbor Christian Learning, Jacksboro Hwy, Fort Worth, Texas, 76135",32.85340000000,-97.51070000000
Bryson Elementary School,Old Decatur Rd,Fort Worth,Texas,76179,61111007,821103,75,0.00000000000,"Bryson Elementary School, Old Decatur Rd, Fort Worth, Texas, 76179",32.87780000000,-97.39080000000
Eagle Mountain-saginaw Schools,Old Decatur Rd,Fort Worth,Texas,76179,61111007,821103,60,0.00000000000,"Eagle Mountain-saginaw Schools, Old Decatur Rd, Fort Worth, Texas, 76179",32.83110000000,-97.37940000000
Boswell High School,W Bailey Boswell Rd,Fort Worth,Texas,76179,61111007,821103,210,0.00000000000,"Boswell High School, W Bailey Boswell Rd, Fort Worth, Texas, 76179",32.87800000000,-97.41320000000
Elkins Elementary School,Elkins School Rd,Saginaw,Texas,76179,61111007,821103,80,0.00000000000,"Elkins Elementary School, Elkins School Rd, Saginaw, Texas, 76179",32.86500000000,-97.40760000000
Creekview Middle School,Bob Hanger St,Fort Worth,Texas,76179,61111007,821103,90,0.00000000000,"Creekview Middle School, Bob Hanger St, Fort Worth, Texas, 76179",32.85860000000,-97.41120000000
Remington Point Elementary,Old Decatur Rd,Fort Worth,Texas,76179,61111007,821103,80,0.00000000000,"Remington Point Elementary, Old Decatur Rd, Fort Worth, Texas, 76179",32.84400000000,-97.38370000000
Chisholm Trail High School,Nw College Dr,Fort Worth,Texas,76179,61111007,821103,32,0.00000000000,"Chisholm Trail High School, Nw College Dr, Fort Worth, Texas, 76179",32.83250000000,-97.39190000000
Lake Country Christian School,Lake Country Dr,Fort Worth,Texas,76179,61111004,821101,70,0.00000000000,"Lake Country Christian School, Lake Country Dr, Fort Worth, Texas, 76179",32.88260000000,-97.42770000000
Prairie Vista Middle School,Comanche Springs Dr,Fort Worth,Texas,76131,61111007,821103,100,0.00000000000,"Prairie Vista Middle School, Comanche Springs Dr, Fort Worth, Texas, 76131",32.88760000000,-97.36690000000
